"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 25 20:20:31 GMT 2022","Sun Sep 25 20:20:50 GMT 2022","19151","","Apply forms of telnyx site","","","","Join the waitlist form from main page",""
"passed","Sun Sep 25 20:22:19 GMT 2022","Sun Sep 25 20:22:28 GMT 2022","9740","","Registration and authorization","","","","Forgot password from account",""
"passed","Sun Sep 25 20:22:04 GMT 2022","Sun Sep 25 20:22:19 GMT 2022","14279","","Registration and authorization","","","","Log in with incorrect credentials from main page ",""
"passed","Sun Sep 25 20:21:39 GMT 2022","Sun Sep 25 20:21:46 GMT 2022","7615","","Header of the telnyx site","","","","Get a sim card via wireless in the products list",""
"passed","Sun Sep 25 20:20:50 GMT 2022","Sun Sep 25 20:20:59 GMT 2022","8651","","Apply forms of telnyx site","","","","Talk to an expert form from main page",""
"passed","Sun Sep 25 20:21:26 GMT 2022","Sun Sep 25 20:21:34 GMT 2022","7757","","Header of the telnyx site","","","","Network option is available to the user",""
"passed","Sun Sep 25 20:21:57 GMT 2022","Sun Sep 25 20:22:04 GMT 2022","6908","","Registration and authorization","","","","Sign up with valid credentials from main page",""
"passed","Sun Sep 25 20:21:34 GMT 2022","Sun Sep 25 20:21:39 GMT 2022","4781","","Header of the telnyx site","","","","Support center is available to the user",""
"passed","Sun Sep 25 20:21:09 GMT 2022","Sun Sep 25 20:21:11 GMT 2022","1810","","Footer of the telnyx site","","","","Social links are visible",""
"passed","Sun Sep 25 20:21:11 GMT 2022","Sun Sep 25 20:21:18 GMT 2022","6716","","Footer of the telnyx site","","","","Search information in the blog section",""
